paper_title,abstract,session_name,session_id,paper_id
The Hybrid Separation Procedure of Subtour Elimination Constraints for Solving Symmetric Traveling Salesman," This study focuses on Symmetric Traveling Salesman Problems with the development of cutting plane algorithms. We developed the hybrid separation procedure that integrates heuristic and exact methods to generate sub-tour elimination constraints. Also, our method adopted an efficient global min-cut algorithm when heuristics failed to find a cutting plane in a Branch-and-Cut iteration. Computational experiments showed that our methods outperformed the existed separation procedures with regard to run times for solvable cases and solution qualities for unsolvable cases.",Large-scale Integer Programming,118,159
Integration of Feedback and Feedforward Control in Laser Powder Bed Fusion," Laser powder bed fusion is one of the most promising methods to fabricate metal parts with complex geometries, but ensuring a high geometrical tolerance is challenging. One of the primary causes of the shape error is the melt pool size fluctuation due to heat accumulation. However, it is challenging to implement power compensation precisely because quantifying the heat accumulation in both part and local scales is computationally expensive. This work addresses this issue by integrating feedforward and feedback control on real-time laser power adjustment. More specifically, the part-scale heat accumulation resulting from the part-substrate-powder interaction is considered by the FEA model, which uses a heuristic method to suggest a laser power setting to each layer, namely, feedforward control on the laser power. On the other hand, the heat accumulation due to raster line length change and random variations (spatter and powder spreading quality) are regulated by a high-speed feedback thermal-based laser power controller. In the case study, we demonstrated our method by printing a testing shape containing both bulky and fine features. Such shapes were printed with four conditions, namely, no control, feedback control only, feedforward control only, and feedback & feedforward control combined. A high-spatial-resolution 3D scanning result demonstrated that the integrated feedforward and feedback control results in the best geometrical accuracy for both fine features and overall shape.",Sensing and Control in Additive Manufacturing Processes-II,203,160
Simultaneous Long-tailed Learning and Multi-modal Fusion with Highly Imbalanced Multi-modal Data," It is common in quality control problems that the number of normal samples exceeds that of defective ones, and it is necessary to take this imbalance into consideration when modeling with such data. To solve this issue, most of the existing quality control models utilize long-tailed learning methods, which attempt to address the problem of training class-balanced models from class-imbalanced training datasets. They typically assume that the input data are single-modal and are designed to handle single-modal inputs only. However, with the access to large-scale, high-dimensional data collected from multiple sources, it becomes increasingly important to integrate such multi-modal data to take advantage of their complementarity. In this article, we propose a long-tailed learning model that is capable of processing multi-modal inputs by introducing a multi-modal fusion strategy. We modify the structure of an existing long-tailed learning model constructed under a multi-expert framework so that all the input modalities are combined into a single representation within each expert. We further employ a separate module consisting of multiple networks, one for each modality, to compute and reflect the relative importance of each modality during the modality fusion. Finally, we propose distinct training and test procedures for different combinations of modalities to bypass the need for self-supervised test-time expert aggregation for tabular data. Empirical results on benchmark datasets and a real-world medical dataset demonstrate that the proposed model is capable of processing multi-modal data ubiquitous in quality control problems and is able to generalize better than the baseline methods.",Advanced Data Analytics for Quality Control and Reliability,2,161
Balancing reliability and manufacturing output through condition-based production: Optimal policies and learning," Production systems used in the manufacturing industry degrade due to production and may eventually break down, resulting in high maintenance costs at scheduled maintenance moments. This degradation behavior, and hence the system's reliability, is affected by the system's production rate. While producing at a higher rate generates more revenue, the system's reliability may also decrease. Production should thus be controlled dynamically to trade-off reliability and revenue accumulation in between maintenance moments. We study this dynamic trade-off for (i) systems where the relation between production and degradation is known as well as (ii) systems where this relation is not known and needs to be learned on-the-fly from condition data. For systems with a known production-degradation relation, we cast the decision problem as a continuous-time Markov decision process and prove that the optimal policy has intuitive monotonic properties. We also present sufficient conditions for the optimality of bang-bang policies and we characterize the structure of the optimal interval between scheduled maintenance moments. For systems with an a-priori unknown production-degradation relation, we propose a Bayesian procedure to learn the unknown degradation rate under any production policy from real-time condition data. Numerical studies indicate that on average across a wide range of practical settings (i) condition-based production increases profits by 50% compared to static production, (ii) integrating condition-based production and maintenance interval selection increases profits by 21% compared to a state-of-the-art approach, and (iii) our Bayesian approach performs close, especially in the bang-bang regime, to an Oracle policy that knows each system's production-degradation relation.",Advanced Topics of QCRE I,7,162
Effects of Exoskeletons on Low-Back Muscular Demands During Unloaded Intermittently Performed Bending Tasks," Repetitive tasks, even when not physically strenuous, can cause overexertion injuries over prolonged durations. Handling heavy loads may be assigned to automated equipment in modern workspaces, yet tasks requiring forward bending remain common in a worker’s daily routine. Exoskeletons assist to offset loads to less critical body regions and can provide cumulative benefits over multiple task cycles. We assessed the effects of Back-Support Exoskeletons (BSEs) in unloaded bending tasks (each task cycle of 60-secs: standing-still (15-sec), bending, sustaining bent posture (30-sec), retracting, standing still (15-sec)) performed intermittently with 15-sec rest (task cycle: relax - 4:1). Twelve participants performed multiple task cycles with/without assistance (of BSE) and in symmetric/asymmetric postures until fatigued. Both subjective (Borg Ratings of Perceived Exertion (RPE) in back and legs) and objective (muscle activation from left (LES) / right (RES) erector spinae muscles) were recorded for each task cycle. Findings revealed that peak amplitude during sustained bending portion in LES was lower with assistance (17%, p-value < 0.001) and in asymmetric vs. symmetric condition (18%, < 0.002), while in RES was lower in symmetric (15%, <0.02). Performing tasks with assistance led to the highest median frequency (82%) in LES vs. no assistance (68%) at medium back and low leg fatigue levels (p-value <0.02) and the trend was similar in RES (78%, 71%, p-value =0.07). Our findings demonstrate the effects of BSEs in intermittently performed trunk flexion tasks that lack handling of heavy loads and may be beneficial for effective implementation of BSEs in industrial workspaces.",Modeling & Simulation for Human Factors and Ergonomics,146,163
How Do Exoskeletons Affect Balance During Intermittently Performed Sustained Bending Tasks?," Exoskeletons are beneficial in reducing effort and risk of overexertion-related injury, yet they can also induce side-effects in their wearers. The added weight, as well as interplay of assistive forces of the device can affect wearers’ body posture while performing tasks. Factors like fatigue and awkward postures can affect neuromuscular systems, eventually affecting balance. We examined how back-support exoskeletons (BSEs) affect body movement and stability in wearers who performed intermittent forward bending tasks with/without ~45-degree asymmetric rotation in the transverse plane. Twelve participants performed multiple trials of sustained trunk flexion tasks with 30 sec durations, until they reached a medium-high fatigue level with/without assistance of BSE. Participants were asked their fatigue level using ratings of perceived exertion (RPE) in back and legs on the Borg CR-10 scale as they stood with one foot on each of two floor-embedded force plates. Findings revealed that both maximum deviation and mean velocity of center of pressure (COP) were ~39% (p-value<0.01) and 133% (p-value<0.05) lower respectively, with assistance vs. without in asymmetric posture and remained lower at both low and medium fatigue level in legs. Overall, the difference between ground reaction forces in left vs. right foot was ~28% lower (p-value<0.01) while wearing BSE. Lastly, distance of COP during standing still to the distance during sustained bent posture was 33% lower with the BSE, indicating possible adaptations in posture while performing the tasks. Findings from this study may be beneficial in understanding the risk of fall while performing tasks with wearable assistive devices.",Modeling & Simulation for Human Factors and Ergonomics,146,164
A real-time temperature prediction method based on CNN-LSTM with MODE in steelmaking process," : Quality prediction of molten steel is a key issue in the converter steelmaking process. Due to high temperature and physical and chemical reactions, it is difficult to predict the temperature and composition content of molten steel in real-time through mechanism analysis. This is a challenging problem with black box characteristics. Here we propose a CNN-LSTM model based on multi-objective differential evolution (MODE) algorithm for the real-time prediction problem in the steelmaking process. Specifically, the CNN layer can extract features between multiple variables that affect the temperature of molten steel, and the LSTM layer is suitable for modeling the temporal information of irregular trends in time series components. The multi-step output of CNN-LSTM method is used to construct the temperature prediction model of molten steel, and the complexity and accuracy of the optimization model are used as the two optimization objectives of the MODE algorithm. And the inflection point solving strategy is used to improve generalization ability. The experiments were conducted using real data collected during the converter steelmaking process. The results verify the effectiveness of the proposed method on multiple steel grades and outperform other data analytics methods.",Statistical Learning and Artificial Intelligence for Quality Control II,212,165
Optimizing Ideal Time in Stochastic Assembly Line Balancing through Chance-Constrained via K-means Algorithm," To tackle the assembly line balancing problem (ALBP), we present an integer mathematical formulation that integrates both the stochastic nature of task times and equipment selection by task. The proposed approach aims to optimize task allocation along the production line, considering variations in task durations and the specific equipment requirements for each task. Our main goal is to minimize the total ideal time while ensuring efficient equipment utilization and maintaining a balanced workload across workstations. We achieve this through the development of a mathematical model that assigns tasks to workstations, considering both stochastic task times and equipment needs. To address the complexity of the problem, we propose a clustering method based on K-means technique, allowing for efficient grouping of tasks based on their characteristics and equipment requirements. Through iterative improvement of task assignments, our objective is to attain a near-optimal solution that minimizes both the ideal assembly time and equipment requirements. Hence, enhancing overall production line efficiency. Initial experimentation and validation using datasets provide insights into the effectiveness of our approach, demonstrating significant improvements in efficiency and cost savings across production line operations.",Manufacturing & Design Best Track Paper,133,166
Human-Robot Matching Policies in Order Picking Systems using Queuing Models," Pick-Support Autonomous Mobile Robots (PS-AMRs) collaborate with human pickers to enhance order-picking efficiency by minimizing unnecessary walking for human pickers. A study by Locus Robotics in autonomous mobile robots reveals significant improvements in the system. Quantified benefits include a remarkable 100% improvement in picker productivity, leading to increased order fulfillment. PS-AMRs can collaborate with humans under two policies: (1) Swarm - where robots and human pickers operate independently, moving to pick locations and waiting for pickers to collect required items. Simultaneously, the order picker is instructed on which robot to serve. After picking an item, the robot proceeds to the next pick location while the picker moves to another waiting robot. Once all items for an order are picked, the robot transports the items to the depot. (2) System-Directed - in this scenario, the human picker receives necessary picking information, and the robot follows the picker. Once all required items are collected, the picker sends the robot to the next zone or depot, continuing order picking with another available robot. This study models the Swarm policy as a closed queuing model to determine system throughput capacity. It examines the impact of order profiles, matching policy (closest or random), and the ratio of AMRs to pickers on overall system performance. Initial results indicate that the Swarm policy can outperform the System-Directed strategy by up to 34.26%, contingent on order profiles and the AMR-to-picker ratio.",Logistics & Supply Chain Best Paper Competition,121,167
Spatio-temporal Probabilistic Forecasting of Circular Variables: Enhancing the Value of Wind Power Prospective Models by Incorporating Wind Direction Probabilistic Forecasts," The pressing need to mitigate climate change has led to a shift in attention towards renewable sources of energy. In particular, energy derived from wind has increased its capital supplying role in the market, becoming even a critical component of the supply portfolio for countries with high penetration of renewable sources, due to its low marginal costs and potentially ubiquitous exploitability. However, its stochastic and climate-influenced variability makes it challenging to consider it a reliable source. Hence, cutting-edge models derived on historical data are key to a) understand and model the randomness involved in wind dynamics, b) quantify the uncertainty associated with the wind power conversion process; and finally, c) ensure wind energy’s full utilization within the grid. Several models have been proposed in the literature to characterize the evolution of the physical phenomenon of wind and its impact in the energy conversion process. These efforts, though, have focused mainly on studying the spatio-temporal evolution of wind speed’s magnitude. Considerably fewer works have highlighted the importance of modeling wind direction and its variation as an important predictor of wind power output. This work will justify the importance of forecasting both the magnitude (wind speed) and direction of the wind velocity vector when quantifying the wind power potential of a given location, by developing a spatio-temporal probabilistic model for high-resolution wind data, gathered by the West Texas Mesonet network. To ensure parsimony of the model without oversimplifying the complexity of the underlying process, a random-effects approach will be considered.",Risk and Uncertainties In Energy Planning,196,168
Risk Assessment and Identification for Food Supply Risks in the Department of Defense," In military operations, evaluating the food supply chain is paramount, necessitating a robust risk assessment and identification framework. Annually, military organizations must scrutinize their existing food supply contracts and make decisions regarding renewal or engagement with new suppliers, all while contending with multifaceted risks, especially during crises. This paper introduces a novel data-driven methodology designed to identify and assess risks inherent in the military food supply chain, with a particular focus on factors that pose potential threats to its stability. Drawing inspiration from Supply Chain Risk and Crisis Management literature, the paper amalgamates various elements to build a risk assessment methodology. This approach incorporates qualitative and quantitative risk factors, utilizing historical data and expert consensus through the DELPHI method. The resultant methodology provides a comprehensive analysis, yielding risk indices at various stages of the military food supply chain. To demonstrate the practicality and efficacy of the proposed framework, a paper is presented, examining the risk factors associated with a military food supply chain during a crisis, such as natural disasters or geopolitical events. The model is tested and validated using historical data, showcasing its applicability in different scenarios. Results indicate that the model effectively identifies and quantifies risk factors within the military food supply chain, providing decision-makers with valuable insights for proactive risk management. This data-driven risk assessment methodology is not only implementable but also enhances the resilience and stability of the military food supply chain, contributing to strategic decision-making in times.",Supply chain Risk & resilience 1,219,169
Workforce Planning through Process Mapping: A Case Study at the Cape Breton Cancer Centre," Background In a new healthcare facility, it can be a challenge to determine the workforce that will be required for patient care. The Cape Breton Cancer Centre currently serves 45,000 patients per year, triple for which it was designed. A new building is under construction, but there is a need to estimate the number of clinical and clerical staff that will be required for the facility's operation. Methods We process-mapped 38 patient flows within the new Cape Breton Cancer Centre, identified roles, and estimated process times and probabilities for each decision point through a series of process mapping exercises with staff members. We considered patient, non-patient-associated activities, time away from work, and the current and future forecasted patient volume. This allowed us to calculate the current and future number of staff, for each role and within each clinic, enumerating the workforce that will be required. Validation of these calculations is underway with current Centre management. Significance For the first time, this approach will be used by Nova Scotia Health to determine staffing requirement for the new facility. The process maps will aid initial operation of the facility and future planning as they form the basis of the facility's operational procedure documents. We believe our process mapping approach for workforce planning is applicable across sectors for planning resources to meet demand.",Resource Allocation and Workforce Planning in Health Systems,193,170
Operational Excellence: Efficiency in Work Measurement and Impactful Results in Banking," The project was conducted at a commercial bank in Puerto Rico. The first phase involved measuring a repetitive task using the stopwatch method, the second phase used Methods Time Measurement, and the third involved Work Sampling for a non-repetitive and multi-task operation. The first and second phases took place in the Claims Department to obtain normal and standard time. A sample size of 165 data points was collected, divided into three elements: first, verifying customer information; second, investigating the claim; and third, documenting the resolution. Control charts were generated for each element to assess process control. It was recommended to add a third monitor placed vertically for better visibility and to change the logical order of the systems on the screens to encourage smoother information flow. In the third phase, a single employee in the forms management department was evaluated. The goal was to identify productive and non-productive tasks. A total of 300 observations were collected, with 37 (12%) identified as non-productive and 263 (88%) as productive. Using the Westinghouse method and ILO standards, total compensation was calculated at 28.7%, and a rating factor of 1.23 was determined. This information was used to calculate normal and standard times for each productive task and provided recommendations based on activities that consumed the most time, aiming to create a balance between tasks. It is concluded that their application can be effective and have a beneficial impact on any company, whether in the pharmaceutical or service industry.",Poster Presentations,169,171
Enabling Personalized Design with Digital Twin and Generative Design," The current industrial revolution, Industry 4.0, has had a profound impact on how things are manufactured. The advent of the Internet of Things, digital twins, big data, and extended reality has made manufacturing more flexible and given deeper insights into manufacturing systems. This has led to offering the customer more design choices. The average consumer has grown to expect this, demanding the ability to customize products even more. This has led to the manufacturing paradigms of mass customization and mass personalization. The difference between these two is the role the customer takes in the design process. In mass customization a set number of choices are offered to the customer to select from. In mass personalization the customer takes an active role in the design of the product, offering input on design requirements and functional needs. Most research around mass personalization has been on how to produce in small to one batch sizes, but because of the increased customer involvement in the design phase more attention should be given to designing personalized products. The key issues with personalized design are the time and resources invested in the design phase and in gathering accurate requirements. This work will explore solving both problems. The first phase will focus on creating a customer/product interaction digital twin. The second phase will focus on creating a design system that will generate a set number of design possibilities. Combining the outcomes of these two research phases will explore a feasible solution to the personalized design problem.",Digital Manufacturing and Industry 4.0-III,47,172
Using Data Analytics and LMS to Improve Teaching," Many universities use Learning Management Systems (LMS) such as Canvas or Moodle. In addition to posting assignments, collecting homework, and recording grades, there is much more an LMS does. These systems collect a wealth of data. A single item in a system, such as a video lecture, will have data on the student utilization, time spent on the activity, and when the item was used. Most instructors either ignore this information or do not even know the LMS collects it. In this presentation, we will demonstrate how analysis techniques can be applied to this type of data to improve the quality of teaching and learning in higher education. Questions about how material is being used or not can be answered. Differences between the more successful students and the struggling students can be identified. Along with many other results to improve the learning process.","Data Analytics in Controls, Measurement, and Education",36,173
Introducing Discrete Event Simulation to Facility Leadership," Pratt and Whitney is in the process of revitalizing its Industrial Engineering discipline. As part of this effort, Plant Simulation has been selected for expanded use across the company. Several methods have been employed to increase adoption and utilization of simulation including multiple small projects across different sites, a large high-visibility project, and information sessions at all hand events. The response to these methods is positive but follow-up engagement varies. We found that introducing simulation during smaller standard work improvement events helps foster greater acceptance and utilization. Simulation has been able to help the team visualize process flow and provide feedback on the design. This decision support effort has been the most successful in getting buy-in from facility leadership and follow-up requests. We believe this method to be successfully reproducible at other enterprises.",Poster Presentations,169,174
Willing to charge smart? Preferences for smart charging contracts for plug-in electric vehicles," A comprehensive charging infrastructure is necessary to support widespread deployment of plug-in electric vehicles. In addition, it is crucial to provide smart charging solutions to manage significant plug-in electric vehicle loads, provide ancillary services to the grid, scale up intermittent renewable energy use, and reduce the overall cost of the energy system. This study investigates relevant determinants for current and potential plug-in electric vehicle drivers’ willingness to accept smart charging contracts in a scenario where the main objectives of the energy provider are the management of intermittent renewable energy sources and grid stabilization. Using a choice-based conjoint analysis, this paper will analyze preferences for both one directional and bi-directional smart charging contracts considering tradeoffs between charging convenience, control of the vehicle by the energy provider, remuneration, flexibility, and CO2 emission reduction. Additionally, the influence of battery degradation concerns on the willingness to accept smart charging contracts based on vehicle-to-grid will be determined. A comparison of consumers in the United States and Germany reveals how differences in preferences in the two countries are influenced by technical, socio-economic, and cultural factors. The approach employed results in statistically relevant insights that apply to a larger population and can inform decision making on the design of smart charging contracts.",Decarbonizing Mobility,37,175
Rule-Based Detective Model for Medical CPT Coding Errors in an Outpatient Community Health Medical Center," Medical coding has been in place for years in the healthcare industry and has been constantly evolving. Errors in medical coding can happen for multiple reasons such as improper understanding of medical coding guidelines, the complexity of the coding systems, and continuous changes in medical coding. This paper develops a computer support rule-based model that detects certain types of medical CPT coding errors in an outpatient rural setting. The Python-based model can detect three types of predefined errors: under-coding, over-coding, and mismatched codes. Each error type contained several scenarios, or categories, of mistakes. The model was evaluated by medical coding experts using three datasets for validation (1,922 visits), testing (2,132 visits), and implementation (2,031 visits). The model identified 80 percent of the errors flagged by the experts during their review. Mismatched codes are the most common errors and 90% of these errors the model identified were corroborated by the expert panel. The model performance is found to be consistent as the detection accuracy is highly similar for each error scenario using the three evaluation datasets. Based on the results, the model can be effectively used to reduce the labor time and cost needed for manual audits by medical coders, generate more revenue, reduce costs of miscoded visits and claims, and improve the coding practices and accuracy. The expected annual monetary benefit of the model at FLCH is between $70,000 and $100,000. The model can be implemented at any outpatient medical center, as medical coding is standardized and universal.",Healthcare I,83,176
Case Study; A Practitioners Guide to Implementing Supplier Risk Modeling," Within the Department of Defense, ensuring a secure and resilient food supply is crucial for sustaining military operations. This case study introduces a comprehensive risk assessment and evaluation methodology tailored to the unique challenges of the DOD's food supply chain. The focus is on developing a robust framework that facilitates the identification and assessment of risks, with a practical application for evaluating industries within the Department of Defense. Building on established principles in Supply Chain Risk Management, the methodology integrates both qualitative and quantitative risk factors, leveraging historical data and expert consensus through the DELPHI method. The resulting framework provides a nuanced understanding of the vulnerabilities and potential disruptions within the DOD's food supply chain. To exemplify the methodology's practical application, a case study is presented, examining the risk factors associated with the food supply chain in a DOD context, especially during times of crisis or heightened security concerns. The model is tested and validated, showcasing its adaptability to various scenarios and demonstrating its utility in assessing and mitigating risks specific to DOD industries. The results affirm the efficacy of the proposed methodology in evaluating food supply risks within the Department of Defense. By providing decision-makers with actionable insights, this data-driven approach becomes an invaluable tool for proactively managing risks and enhancing the resilience of DOD industries. The application of this methodology not only strengthens the DOD's ability to address potential disruptions but also contributes to strategic decision-making, ensuring the continued availability and security of the military food supply.",Supply chain Risk & resilience 2,220,177
A Systematic Literature Review of Application Processes," Our comprehensive literature review delves into an extensive analysis of application methodologies, drawing insights from both military and civilian spheres. This meticulous review incorporates various criteria crucial to assessing an applicant's overall suitability. Factors such as biodata, prior experience, intelligence tests, psychological assessments, education, job knowledge, and health records serve as pivotal indicators informing our assessment process. While each factor contributes significantly to candidate evaluation, our in-depth analysis underscores that biodata, prior experience, and intelligence tests exhibit the most substantial commonality and relevance across multiple studies. The selection methodologies highlighted in these studies employ a judicious blend of quantitative and qualitative measures, aiming to discern the positive correlation between these factors and the overall success of candidates within an organization. We completed a systematic literature review to assess the success of application processes, which practitioners can use to determine the success of a future applicant.",Work Systems I,240,178
Order Batching Optimization for a Warehouse Digital Twin Based on Heuristics and Mixed Integer Programming," A warehouse digital twin is a virtual model that can accurately simulate and capture the key functional attributes of physical system operations including order-picking. Order-picking is a labor-intensive task that often contributes to over 55% of the warehouse operating costs. With growing online orders and customers demand for rapid delivery, commercial warehouses have sought to exploit dynamic order-batching optimization software in their product retrieval processes. However, order-batching is an NP-Hard problem that requires grouping the received orders into batches before beginning the actual shelf-picking process. This study introduces a warehouse digital twin based on a discrete event simulation platform which incorporates practical constraints when performing the dynamic order-batching process. To address the limitations of existing order-batching optimization algorithms, a hybrid method employing a heuristic algorithm and mixed integer programming technique is proposed. Specifically, a seed algorithm is employed for batching customer orders in near real-time. The methodology utilizes practical three-dimensional bin packing constraints such as volume, stacking, orientation, and weight. Feasible batching solutions are then determined by using the CP-SAT solver. Simulation tests with experimental data from an Australian furniture company show a throughput time reduction of 13.3% using proposed dynamic order-batching algorithm. Furthermore, the study also showed that 7.6% of the batches could not be picked in a single tour if the practical constraints were not adequately considered by the algorithm. The research results demonstrate that the effectiveness and efficiency of the order-picking optimization process can be theoretically improved by integrating real-world considerations into the digital twin model.",Logistics & Supply Chain Best Paper Competition,121,179
Unveiling Patient Insights and Experiences: An Integrated Approach to Multi-Criteria Topic Modeling and Classification," ""This paper unveils a pioneering two-phase integrated framework for analyzing patient experience surveys. The first phase employs unsupervised sentiment and multi-criteria topic modeling using BERT and LDA algorithms, while the second phase involves supervised multi-label classification using BERT and RF algorithms. Leveraging 1772 patient comments from Finger Lakes Community Health (FLCH), our approach demonstrates robust performance, facilitated by the model's multi-label capability that allows discernment of multiple topics within each patient comment. The sentiment analysis revealed 59.1% positive, 26.3% negative, 8.4% mixed, and 6.2% neutral comments. The topic analysis identified seven topics including scheduling, care and service quality, experience with staff, call center, prescriptions and labs, waiting time, and other issues. Notably, the care and service quality topic received overwhelmingly positive sentiments (74.6%), while the call center and waiting time topics exhibited high negativity (66.1% and 70.3%, respectively). The text classification models, particularly the BERT-based model, demonstrated strong performance with balanced accuracy ranging from 82% to 97%. The call center topic achieved the highest balanced accuracy (93%) in the RF-based model. The study contributes to healthcare analytics, providing actionable insights for administrators to enhance patient satisfaction and underscores the efficacy of sentiment and topic modeling approaches in understanding diverse patient experiences.""",Healthcare IV,86,180
IMPROVING CUSTOMER SATISFACTION BY IMPLEMENTING WORK MEASURES AND JOB DESIGN," Companies are required to use proper methods to reduce their costs and increase productivity levels so that they can promote the competitive conditions of the existing business environment. Work study conducted in House of Sports by Dick’s Sporting Goods helped us understand the importance in the application of those highly effective productivity improvement methods in labor dependent industry, while focused on customer satisfaction. This work was divided into three (3) phases. Phase I and II – Stopwatch technique and MTM on cash register, and Phase III – Work Sampling on the Assistant Store Manager (ASM). Determination of standard times is one of the important steps of a work study that provides a critical input for process improvement. Work sampling, based on statistical technique that involved random observation of the ASM activities to assess the productivity and efficiency, as well as, allowing us to identify work patterns and resource for optimization. For the cash register operation, we applied the stopwatch technique and MTM obtaining a % difference between them of 3.7% showing an accuracy in the conduction of the study less than 5%. This states that the observation and data collection were in control. As for the ASM, the work sampling showed a decrease in the standard time regarding the observed time, which implies an increment in productivity and efficiency of 2%. The application of work study and job design are crucial to improve productivity, help establish expenses and labor standards as well as work environment in any business field.",Poster Presentations,169,181
A Moderate Realist Worldview of Soft Systems Methodology: Strengthening Flexibility with Objectivity," Soft Systems Methodology is a systems approach designed to bring about resolution when conflicting interests and perspectives between stakeholders exist in an organization. It has been perceived by practitioners to provide value through its adaptability, flexibility, ability to identify points of conflict between stakeholders that may require intervention, and ability to improve communication by recognizing multiple stakeholder perspectives. Despite its strengths, Soft Systems Methodology has limitations. The methodology's flexibility means that each organization requires separate modeling practices that are not necessarily replicable. The fact that Soft Systems Methodology is, at its core subjective, limits the real-world applicability of the methodology to objective applications. Additionally, the models used in Soft Systems Methodology are not taken to represent real-world applications due to their constructivist nature, which inhibits the applicability of the methodology’s results. Efforts have been taken to remedy these limitations by supplementing Soft Systems Methodology with other systems modeling techniques. However, these new approaches are still applied only in individual contexts, and thus still lack a holistic interpretation of the systems to which they are applied. To address these limitations, this research utilizes a moderate realist perspective to 1) propose applicable levels of abstraction for modeling all kinds of purposeful human activity systems, 2) expand Soft Systems Methodology by integrating the proposed levels of abstraction, and 3) provide an example application of this framework. This approach will help practitioners apply Soft Systems Methodology in a general context while addressing the limitations in replicability and representation of real-world situations.",SE Concepts and Theory,199,182
On Solving the Maximum Value Dynamic Network Flow Problem," Some network flow applications require dynamic network flow solutions characterized by a schedule of flows consecutively transmitted over a sequence of successive periods. For these schedules, we assume flows transmit via arcs during periods while flows reside at nodes from one period to the next. Within this context, we introduce the Maximum Value Dynamic Network Flow Problem (MVDFP) in which we seek to maximize the cumulative value of a non-simultaneous network flow schedule that accumulates node value whenever some minimum amount of flow resides at a node between periods. For solving the MVDFP, we first introduce a large mixed-integer program (MIP). As this MIP can become computationally-expensive for large networks, we also present a computationally-effective heuristic that sequentially solves a series of smaller, more manageable MIPs. This heuristic approach determines a high-quality solution significantly faster than the MIP obtains an optimal solution by dividing the full network flow schedule into a sequence of consecutive shorter network flow subschedules. In many cases this approach produces an optimal solution in a fraction of the MIP’s computational time. We present extensive computational results to highlight our heuristic’s efficacy and discuss future research avenues.",Methods in Network Optimization,144,183
Navigating Aerospace Challenges : A Real World Problem Solving Journey," What: The Boeing Company is facing issues with receiving damaged parts from a supplier, impacting flow time to our fuselage build and increasing costs. This presentation showcases the journey of problem solving, driven by the need to ensure 100% first pass quality and eliminate delays in aircraft deliveries. We traced the part lifecycle from supplier production to factory installation and found two out four fuselage sections are consistently damaged. Why: Delays in repairing and replacing damaged parts hinder delivery schedules, making it imperative to uncover the root cause. Our aim is to present genuine industry difficulties, emphasizing the application of practical problem-solving techniques. Benefits: This root cause analysis will drive solutions that are anticipated to reduce repair costs by 65%, streamlining part transport and installation. Tools: The Boeing Problem Solving Model (BPSM) for a structured lean approach, the Production Preparation Process (3P) for the creation of a new system, the Manufacturing Execution System for manufacturing scheduling, time study analysis for work efficiency ,Tableau reports for data collection, cross-functional workshop, Gemba walks and benchmarking.",Organizational Culture,157,184
Smart maintenance framework in an Industry 4.0 using blockchain and smart contracts," This research addresses the potential implementation of Blockchain Technology as a decentralized database and smart contracts into maintenance management within the Industry 4.0 paradigm. The preliminary objective is to investigate the blockchain’ role as a transformative tool in enhancing transparency, traceability, and efficiency in maintenance management. This study includes a thorough literature review, pointing out the gaps in the Industry 4.0 era, maintenance management, and blockchain technology. By leveraging blockchain’s decentralization and immutable characteristics, the research develops a smart contract-based system to integrate blockchain into maintenance operations, focusing on the overall process efficiency and the design of a blockchain-based architectural framework. The key aspects of this methodology are the smart contracts to automate and regulate maintenance tasks, providing immutable maintenance records, and a user-friendly interface for stakeholder engagement. The development of this proof of concept demonstrates valuable enhancements in process efficiency, accountability, and data security. The significant contributions of this study are instrumental for practitioners in optimizing maintenance activities in the Industry 4.0 context. Overall, this study provides good insights for broader explorations in implementing blockchain technology with other disruptive technologies such as Internet of Things and Artificial Intelligence, to more advanced maintenance management in Industry 4.0.","Smart and Sustainable Maintenance: Machine Learning, Blockchain and Circular Economy Approaches",208,185
The Impact of Investment in Technology and Learning Techniques in Work Design and Ergonomics Lab for Diverse and Inclusive Interest of ISE Students in Human Factors and Ergonomics," Ergonomics and Industrial Engineering intersect at one of their most important objectives: promoting productivity and efficiency while easing discomfort. This research conducted at Rutgers University's Work Design and Ergonomics lab delves into the impacts of improved laboratory experiences on student motivation and their choices in senior design projects within the field of Human Factors and Ergonomics (HF/E), paying special attention to gender and ethnic diversity. The study methodically examined the technological enhancements in the lab and their subsequent influence on student participation in HF/E-related senior design projects, employing statistical analysis to discern participation discrepancies across different gender and ethnic groups. The results revealed a significant link between laboratory advancements and an upsurge in student engagement in HF/E-related projects post-2019, with notable variations in involvement among diverse ethnic groups, especially Middle Eastern Amer and Hispanic American students. Although there was an increase in female participation, it was not as statistically significant as the marked increase observed among male students. Ultimately, the study underscores the critical role of practical laboratory experiences in shaping students' interests in HF/E and brings to light considerable disparities in participation based on gender and ethnicity. These insights point to the urgent need for more inclusive and equitable educational practices and highlight the importance of ongoing efforts to boost ethnic diversity in the field of ergonomics education.",Inclusive Excellence in ISE Education,100,186
